0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Country User/Site,Name,A,B,C,D,E,F,G,H,I,J,K,L,M,Total
26,teambrbr59/BRA,[PUC-Rio] NP-Drada,,,1/24,,1/115,3/-,,1/6,1/-,,,,,3 (145)
72,team108/PER,[UNI-FIM] TheLeonidas,,2/132,1/40,,,,,1/13,,1/-,,,,3 (205)
18,team108/PER,[UNI-FIM] TheLeonidas,,2/132,1/40,,,,,1/13,,1/-,,,,3 (205)
7,team108/PER,[UNI-FIM] TheLeonidas,,2/132,1/40,,,,,1/13,,1/-,,,,3 (205)
73,teambrbr50/BRA,[UFU-Monte Carmelo] Bit Please,,,1/55,,2/142,1/-,,1/5,2/-,,,,,3 (222)
27,teambrbr50/BRA,[UFU-Monte Carmelo] Bit Please,,,1/55,,2/142,1/-,,1/5,2/-,,,,,3 (222)
74,teambrbr26/BRA,[UERJ] Algum Ritmo,,,1/29,,1/-,,,1/4,2/185,,,,,3 (238)
28,teambrbr26/BRA,[UERJ] Algum Ritmo,,,1/29,,1/-,,,1/4,2/185,,,,,3 (238)
75,team106/PER,[PUCP-FCI] AlpacaX,,1/226,1/50,,,,,1/12,,,,,,3 (288)
19,team106/PER,[PUCP-FCI] AlpacaX,,1/226,1/50,,,,,1/12,,,,,,3 (288)
8,team106/PER,[PUCP-FCI] AlpacaX,,1/226,1/50,,,,,1/12,,,,,,3 (288)
76,teambrbr54/BRA,[UFBA] Bira e seus craques,,,1/30,,1/-,3/-,,1/4,5/180,1/-,,,,3 (294)
29,teambrbr54/BRA,[UFBA] Bira e seus craques,,,1/30,,1/-,3/-,,1/4,5/180,1/-,,,,3 (294)
77,teambrbr36/BRA,[UFV-DPI] Teoria dos Papibaquígrafos,,,1/21,,,5/186,,1/10,2/-,,,,,3 (297)
30,teambrbr36/BRA,[UFV-DPI] Teoria dos Papibaquígrafos,,,1/21,,,5/186,,1/10,2/-,,,,,3 (297)
78,teambrbr58/BRA,[UTFPR-Ponta Grossa] BugBusters,,1/-,3/95,,,,,1/11,1/153,7/-,,,,3 (299)
31,teambrbr58/BRA,[UTFPR-Ponta Grossa] BugBusters,,1/-,3/95,,,,,1/11,1/153,7/-,,,,3 (299)
79,332198/MEX,[UAdeC_Saltillo] Supernovas - UAdeC_Saltillo,,,1/71,,1/226,,,1/4,1/-,2/-,,,,3 (301)
